ChemicalName,CAS­nr,Year,TWA(ppm),TWA(mg/m^3),STEL(ppm),STEL(mg/m3)
Acetaldehyde,75­0-7­-0,1990,25,45,50,90
Acetamide,60­3-5­-5,1993,10,25,25,60
Acetone,67­6-4­-1,1993,250,600,500,1200
Acetonitrile,75­0-5­-8,1993,30,50,60,100
Acrolein,107­0-2­-8,2018,"0,02","0,05","0,05","0,12"
Acrylamide,79­0-6­-1,2018,−,"0,03",−,"0,1"
Acrylonitrile,107­1-3­-1,1993,2,"4,5",6,13
Acrylic acid,79­1-0­-7,2018,10,29,20,59
Allyl alcohol,107­1-8­-6,2015,2,5,5,12
Allylamine,107­1-1­-9,1984,2,5,6,14
Allyl chloride,107­0-5­-1,1993,1,3,3,9
"Aluminium*,  metall  och  oxid  (som  Al)",7429-90-5,1996,,,,
– totaldamm,7429-90-5,,−,5,−,−
– respirabel  fraktion,7429-90-5,,−,2,−,−
"Aluminium, lösliga föreningar (som Al)",7429-90-5,1996,,,,
Aluminum Dust,7429-90-5,,−,1,−,−
pAminoazobenzene,60­0-9­-3,,,,,
4 Aminodiphenyl,92­6-7­-1,,,,,
4-Aminotoluene,106­4-9­-0,2020,1,"4,46",2,"8,92"
Amitrol,61­8-2­-5,2018,−,"0,2",−,−
Ammonia,7664­-41­-7,2011,20,14,50,36
Amyl acetate,-na-n,,,,,
Aniline,62­5-3­-3,2020,1,4,2,8
"Antimony*, and compounds (such as Sb),",7440­-36-­0,2011,,,,
Antimony trihydride,7440­-36-­0,,,,,
– inhalable fraction,7440­-36-­0,,−,"0,25",−,−
Antimony trioxide,1309­6-4­-4,,,,,
Antimony trihydride,7803­5-2­-3,1974,"0,05","0,3",−,−
Arsenic,7440-38-2,2021,,"0,01",,
"Gasoline, industrial, octane type",-na-n,1989,200,900,300,1400
pBenzoquinone,106­5-1­-4,1978,"0,1","0,4","0,3","1,3"
Benzo(a)pyrene,50­3-2­-8,1993,−,2,−,"0,02"
Benzotrichloride,98­0-7­-7,,,,,
Benzyl butyl phthalate,85­6-8­-7,1987,−,3,−,5
Benzyl chloride,100­4-4­-7,1978,1,5,2,11
Benzidine,92­8-7­-5,,,,,
"Beryllium*, and compounds (such as Be)",7440-­41-­7,2020,−,"0,0006",−,−
Beryllium,7440-­41-­7,,,"0,00021",,
Biphenyl,7440-­41-­7,,,,,
Bisphenol A,80­0-5­-7,2018,,,,
Bisphenol A,80­0-5­-7,,−,2,−,−
Lead,7439­-92-­1,2011,,,,
Lead inhalable fraction,7439­-92-­1,,−,"0,1",−,−
Lead  respirable  fraction,7439­-92-­1,,−,"0,05",−,−
Lead monoxide,1317­-36­-8,,,,,
Lead monoxide Cotton dust,1317­-36­-8,,,,,
Lead monoxide Dust,1317­-36­-8,,,,,
Borax,1303-­96­-4,1978,,,,
Borax Dust,1303­-96­-4,,−,2,−,5
Bromine,7726­-95­-6,1974,"0,1","0,7","0,3",2
"1,3 Butadiene",106­9-9­-0,2018,"0,5",1,5,10
nButanol,71­3-6­-3,1989,15,45,30,90
isoButanol,78­8-3­-1,1987,50,150,75,250
sec Butanol,78­9-2­-2,1987,50,150,75,250
tertButanol,75­6-5­-0,1987,50,150,75,250
2Butoxyethanol,-na-n,,,,,
See: Ethylene glycol monobutyl ether,-na-n,,,,,
2Butoxyethyl acetate,-na-n,,,,,
See: Ethylene glycol monobutyl ether acetate,-na-n,,,,,
Butyl acetate,-na-n,2020,50,241,150,723
Butyl acetate,-na-n,2020,50,241,150,723
nButyl acrylate,141­3-2­-2,2015,2,11,10,53
Butylamine,-na-n,1984,−,−,5,15
nButylamine,109­7-3­-9,,,,,
isoButylamine,78­8-1­-9,,,,,
secButylamine,13952­8-4­-6,,,,,
tertButylamine,75­6-4­-9,,,,,
Butyl glycidyl ether,2426­0-8­-6,1981,10,50,15,80
Butyl methacrylate,97­8-8­-1,1987,50,300,75,450
"But-2-yne-1,4 diol",110­6-5­-6,2018,−,"0,5",−,−
Beta-Butyrolactone,3068­8-8­-0,,,,,
CFC 11,75­6-9­-4,1984,500,3000,750,4500
CFC 12,75­7-1­-8,1984,500,2500,750,4000
CFC 113,76­1-3­-1,1981,500,4000,750,6000
Cyanamid,420­0-4­-2,2015,"0,58",1,−,−
Cyanides (as CN),-na-n,2018,,,,
inhalable fraction,-na-n,,−,1,−,4
Potassium cyanide,151­5-0­-8,,,,,
Sodium cyanide,143­3-3­-9,,,,,
See also Hydrogen Cyanide,-na-n,,,,,
Cyan chloride,506­7-7­-4,1978,"0,1","0,3","0,3","0,8"
Cyclohexane,110­8-2­-7,2015,200,700,−,−
Cyclohexanol,108­9-3­-0,1978,50,200,75,300
Cyclohexanone,108­9-4­-1,2015,10,41,20,81
Cyclohexylamine,108­9-1­-8,1993,5,20,10,40
"Dust,  inorganic",-na-n,,,5,,
Dust inhalable  fraction,-na-n,2018,−,5,−,−
Dust – respirable  fraction,-na-n,2018,−,"2,5",−,−
"Dust  and  mist,  organic",-na-n,2018,,5,,
Dust inhalable  fraction,-na-n,,−,5,−,−
"Dust, cotton (raw cotton)",-na-n,2018,,"0,5",,
–inhalable fraction,-na-n,,−,"0,5",−,−
"Dust, thermoplastics",-na-n,2018,,3,,
–inhalable fraction,-na-n,,−,3,−,−
"Dust, coal incl. carbon black",-na-n,2018,,3,,
–inhalable fraction,-na-n,,−,3,−,−
"Dust, flour,",-na-n,2000,,,,
–inhalable fraction,-na-n,,−,3,−,−
"Dust, paper",-na-n,2018,,,,
–inhalable fraction,-na-n,,−,2,−,−
"Dust,  PVC",9002­8-6­-2,2018,,,,
– inhalable  fraction,-na-n,,−,1,−,−
– respirable  fraction,-na-n,,−,"0,5",−,−
"Dust, textiles",-na-n,2018,,,,
–inhalable fraction,-na-n,,−,1,−,−
"Dust, wood",-na-n,2018,,,,
–inhalable fraction,-na-n,,−,2,−,−
Dust from hardwoods (hardwood),-na-n,,,,,
Dust from softwoods (softwoods),-na-n,,,,,
Decanes and other higher aliphatic hydrocarbons,-na-n,1989,−,350,−,500
Desflurane,57041­6-7­-5,2000,10,70,20,140
Diacetone alcohol,-na-n,,,,,
See: 4Hydroxy4methyl2pentanone,-na-n,,,,,
Diacetyl,431­0-3­-8,2018,"0,02","0,07","0,1","0,36"
"4,4´Diamino3,3´ ",101­1-4­-4,2020,−,"0,01",−,−
Dibenzyl phthalate,523­3-1­-9,1987,−,3,−,5
"1,2Dibromo3chloropropane",96­1-2­-8,,,,,
"1,2Dibromoethane (ethyl dibromide)",106­9-3­-4,2018,"0,1","0,8",−,−
Dibutyl phthalate,84­7-4­-2,1987,−,3,−,5
